                     2          3          4          5          6          7          8          9         10         11
    20     S          S          S          S          S          S          S          S          S          S          
    19     S          S          S          S          S          S          S          S          S          S          
    18     S          S          S          S          S          S          S          S          S          S          
    17     S          S          S          S          S          S          S          S          S          S          
    16     S          S          S          S          S          H          H          H          S          H          
    15     S          S          S          S          S          H          H          H          H          H          
    14     S          S          S          S          S          H          H          H          H          H          
    13     S          S          S          S          S          H          H          H          H          H          
    12     H          H          S          S          S          H          H          H          H          H          
    11     Dh         Dh         Dh         Dh         Dh         Dh         Dh         Dh         Dh         H          
    10     Dh         Dh         Dh         Dh         Dh         Dh         Dh         Dh         H          H          
     9     H          Dh         Dh         Dh         Dh         H          H          H          H          H          
     8     H          H          H          H          H          H          H          H          H          H          
     7     H          H          H          H          H          H          H          H          H          H          
     6     H          H          H          H          H          H          H          H          H          H          
     5     H          H          H          H          H          H          H          H          H          H          
   9_11    S          S          S          S          S          S          S          S          S          S          
   8_11    S          S          S          S          S          S          S          S          S          S          
   7_11    S          Ds         Ds         Ds         Ds         S          S          H          H          H          
   6_11    H          Dh         Dh         Dh         Dh         H          H          H          H          H          
   5_11    H          H          Dh         Dh         Dh         H          H          H          H          H          
   4_11    H          H          Dh         Dh         Dh         H          H          H          H          H          
   3_11    H          H          H          Dh         Dh         H          H          H          H          H          
   2_11    H          H          H          Dh         Dh         H          H          H          H          H          
   11_11   SP         SP         SP         SP         SP         SP         SP         SP         SP         SP         
   10_10   S          S          S          S          S          S          S          S          S          S          
    9_9    SP         SP         SP         SP         SP         S          SP         SP         S          S          
    8_8    SP         SP         SP         SP         SP         SP         SP         SP         SP         SP         
    7_7    SP         SP         SP         SP         SP         SP         H          H          H          H          
    6_6    SP         SP         SP         SP         SP         H          H          H          H          H          
    5_5    Dh         Dh         Dh         Dh         Dh         Dh         Dh         Dh         H          H          
    4_4    H          H          H          SP         SP         H          H          H          H          H          
    3_3    SP         SP         SP         SP         SP         SP         H          H          H          H          
    2_2    SP         SP         SP         SP         SP         SP         H          H          H          H          
